"filename", "language", "Java", "XML", "HTML", "PostCSS", "Java Properties", "JavaScript", "comment", "blank", "total"
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\springmvc_07_rest_case-1.0-SNAPSHOT\js\jquery.min.js", "JavaScript", 0, 0, 0, 0, 0, -3, -1, -1, -5
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\springmvc_07_rest_case-1.0-SNAPSHOT\js\vue.js", "JavaScript", 0, 0, 0, 0, 0, -9183, -1632, -11078, -21893
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\springmvc_07_rest_case-1.0-SNAPSHOT\pages\item.html", "HTML", 0, 0, -359, 0, 0, 0, -5, -365, -729
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\springmvc_07_rest_case-1.0-SNAPSHOT\plugins\elementui\index.css", "PostCSS", 0, 0, 0, -1, 0, 0, 0, 0, -1
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\springmvc_07_rest_case-1.0-SNAPSHOT\plugins\elementui\index.js", "JavaScript", 0, 0, 0, 0, 0, -3, -36, 0, -39
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\springmvc_07_rest_case-1.0-SNAPSHOT\plugins\font-awesome\css\font-awesome.css", "PostCSS", 0, 0, 0, -2327, 0, 0, -15, -2333, -4675
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\springmvc_07_rest_case-1.0-SNAPSHOT\plugins\font-awesome\css\font-awesome.min.css", "PostCSS", 0, 0, 0, -1, 0, 0, -6, -2, -9
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\springmvc_07_rest_case-1.0-SNAPSHOT\plugins\font-awesome\fonts\fontawesome-webfont.svg", "XML", 0, -2671, 0, 0, 0, 0, 0, -1, -2672
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\springmvc_day01_quickstart-1.0-SNAPSHOT\WEB-INF\web.xml", "XML", 0, -6, 0, 0, 0, 0, 0, -2, -8
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\springmvc_day01_quickstart-1.0-SNAPSHOT\index.jsp", "HTML", 0, 0, -5, 0, 0, 0, 0, -1, -6
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\tomcat\conf\logging.properties", "Java Properties", 0, 0, 0, 0, -22, 0, -27, -16, -65
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\tomcat\conf\tomcat-users.xml", "XML", 0, -3, 0, 0, 0, 0, -23, -1, -27
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\tomcat\conf\web.xml", "XML", 0, -3766, 0, 0, 0, 0, -472, -46, -4284
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\tomcat\work\Tomcat\localhost\_\org\apache\jsp\index_jsp.class", "Java", -43, 0, 0, 0, 0, 0, 0, -2, -45
"d:\ComputerScienceLearning\JavaLearningForWork\SSM_Lab\SpringMVC\springmvc_07_rest_case\target\tomcat\work\Tomcat\localhost\_\org\apache\jsp\index_jsp.java", "Java", -58, 0, 0, 0, 0, 0, -8, -14, -80
"Total", "-", -364, -6523, -364, -2876, -25, -9197, -2264, -14516, -36129
